В физике Ньютона по каким траекториям движутся планеты?|по объемным спиралям
Что является некорректным в следующем определении однородности времени: "однородность времени означает, что если в два любые момента времени все тела некоторой системы поставить в совершенно одинаковые условия, то начиная с этих моментов все явления в ней будут протекать совершенно одинаково"?|Некоторая система обязательна замкнута
Сколько параметров требуется для описания неквазистатического процесса в общем случае?|требуется столько же параметров, сколько и для макроскопического описания равновесного состояния
Выберем в твердом теле некоторую точку О. Произвольное движение твердого тела разложим на поступательное движение со скоростью, равной скорости точки О, и вращательное движение вокруг мгновенной оси, проходящей через эту точку. Выберем теперь другую точку А и опять разложим движение на поступательное движение со скоростью, равной скорости точки А, и вращательное движение вокруг мгновенной оси, проходящей через точку А. Известно, что поступательная скорость движения при переходе от точки О к точке А увеличилась в два раза. Как при этом изменилась скорость вращательного движения?|не изменилась
Что некорректно в следующем определении "моль есть количество вещества системы, содержащей столько же молекул, сколько содержится атомов в углероде-12 массой 0,012 кг"?|не молекул, а структурных элементов
Что такое уравнение состояния тела?|уравнение, связывающее между собой термодинамические (макроскопические) параметры системы, такие, как температура, давление, объём, химический потенциал и др
Какие условия накладываются на термоскоп?|При соприкосновении шарика термоскопа с исследуемым телом меняется объем содержащегося внутри него воздуха. Если пустой шар поместить на солнце, то можно видеть, как в другом шаре булькают пузырьки воздуха в воде, потому что, когда шар разогревается, «часть воздуха, заключенного в трубке, выходит наружу» . Если затем поместить шар в тень, то вода подымется по трубке, пока не попадет в другой, пустой шар. Если после этого опять разогреть шар над огнем, явление повторится; то же самое получится, если шар облить горячей водой. И наоборот, если охладить шар, то вода выльется наружу(т. е. вода из первого шара перейдет во второй)
Как связаны термоскоп и термометр?|Термоско́п — родоначальник современных термометров. Термоскоп так же, как и термометр, показывал изменение степени охлаждения и нагревания тела
Почему абсолютная термодинамическая шкала температур называется абсолютной?|потому что мера основного состояния нижнего предела температуры — абсолютный ноль, то есть наиболее низкая возможная температура, при которой в принципе невозможно извлечь из вещества тепловую энергию.
В чем некорректность фразы "температура, при которой твердая и жидкая фаза одного и того же вещества сосуществуют в фазовом равновесии, называется нормальной точкой плавления"?|необходимое условие- нормальное атмосферное давление
В чем некорректность фразы "температура, при которой сосуществуют в фазовом равновесии твердая, жидкая и газообразная фаза одного и того же вещества при нормальном атмосферном давлении, называется тройной точкой"?|Для каждого вещества имеются определенные  значения давления и температуры тройной точки. При меньших давлениях могут существовать только твердое и газообразное состояния. Поэтому некорректно говорить о каком-то установленном нормальном атмосферном давлении
Когда мы говорим, что два тела имеют одинаковые температуры?|Мы говорим, что тела А и В имеют одинаковую температуру, если каждое из них находится в тепловом равновесии с телом С (этим телом может быть термометр)
Что является термометрической величиной в идеально-газовой шкале температур?|давление
В чем некорректность фразы "в состоянии термодинамического равновесия все процессы прекращаются"?|при термодинамическом равновесии системы испаряется и конденсируется одинаковое количество молекул, а движение сохраняется
В чем отличие получения уравнения состояния в термодинамике и в статистической физике?|Точкой контакта между двумя дисциплинами считается функция для энтропии S, которая является функцией термодинамических переменных S. С точки зрения термодинамики уравнения для температуры и других соотношений могут быть установлены путем принятия производных от S или U от переменных. Статистическая механика направлена ​​на то, чтобы получить S явно как функцию возможным микросостоянием. Совокупность этих микросостояний и их связанная энергия определяются из статистической суммы
Как связаны макроскопические термодинамические параметры с функциями, характеризующими динамическое состояние системы?|функции процесса представляют собой характеристики совершаемого системой термодинамического процесса и зависят от его пути, то есть способа перехода системы из состояния в начале процесса в конечное состояние. А термодинамические параметры есть физические величины, используемые для описания состояний и процессов в термодинамических системах
Какой физический закон лежит в основе создания абсолютной термодинамической шкалы температур?|основано на втором начале термодинамики и, в частности, на независимости кпд Карно цикла от природы рабочего тела
Как без использования понятия температуры определить, что тело А более холоднее, чем тело В?|контактным способом, который основан на непосредственном контакте измерительного преобразователя температуры с исследуемым объектом, в результате чего добиваются состояния теплового равновесия преобразователя и объекта
В физике Ньютона по каким траекториям движутся планеты?|Планеты движутся по эллипсу
Почему удержаться в транспорте на поворотах легче в неподвижном состоянии, чем при движении?|Когда пассажир стоит в движущемся автобусе, то на поворотах он испытывает действие так называемой центробежной силы инерции. Если во время поворота пассажир будет перемещаться в автобусе, то на него начнет действовать еще сила Кориолиса, которая всегда перпендикулярна относительной скорости.
Что общего между сальто прыгуна и пируэтом балерины?|Человек движется вокруг своей оси
Почему величина третьей космической скорости не определена однозначно?|она разная для разных объектов Вселенной, расстояния определены приблизительно
Что является некорректным в следующем определении однородности времени: "однородность времени означает, что если в два любые момента времени все тела некоторой системы поставить в совершенно одинаковые условия, то начиная с этих моментов все явления в ней будут протекать совершенно одинаково"?|Система, в которой находятся тела должна быть замкнутой
Чем некорректно следующее определение: "весом тела называется приложенная к нему сила, равная и противоположно направленная силе, с которой это тело действует на подставку, на которой оно лежит, или тянет за подвес, к которому оно подвешено"?|сила не приложена к телу
Чем силы инерции отличаются от обычных сил классической механики?|Все остальные механические силы возникают в результате воздействия одного тела на другое. Тогда как силы инерции обусловлены свойствами механического движения тела
Имеется твердое тело, имеющее одну неподвижную точку. Нужно перевести тело из произвольного начального положения в произвольное конечное положение. Какое минимальное количество поворотов (и осей вращения) потребуется для этого в общем случае? |твердое тело, имеющее одну неподвижную точку, может быть переведено из произвольного положения в другое произвольное положение путем поворота вокруг некоторой оси, проходящей через эту неподвижную точку
При рассмотрении движения тела относительно Земли студент учел и центробежную силу и кориолисову силу, но не учел гравитационные силы со стороны Солнца и Луны. Почему?|Слишком большие расстояния
Что может являться причиной нерегулярных колебаний продолжительности суток?|изменение скорости  вращения Земли вокруг Солнца
Почему полые тела скатываются с наклонной плоскости за другое время, чем сплошные тела той же геометрической формы?|моменты инерции полых тел больше, чем сплошных
Чему равна сумма моментов инерции тела относительно трех произвольных осей, пересекающихся в одной точке О?|удвоенному моменту инерции этого тела относительно точки пересечения
В чем некорректность фразы "температура, при которой твердая и жидкая фаза одного и того же вещества сосуществуют в фазовом равновесии, называется нормальной точкой плавления"?|равновесие должно быть при атмосферном давлении
Что некорректно в следующем определении "моль есть количество вещества системы, содержащей столько же молекул, сколько содержится атомов в углероде-12 массой 0,012 кг"?|система должна содержать не молекулы, а структурные элементы
В чем отличие получения уравнения состояния в термодинамике и в статистической физике?|параметры состояния в термодинамике являются просто средними величинами
Как связаны термоскоп и термометр?|термоскоп родоначальник современных термометров.
Какой физический закон лежит в основе создания абсолютной термодинамической шкалы температур?|закон идеальных газов Гей-Люссака и Шарля
Какие условия накладываются на термоскоп?|идеальное атмосферное давление
Что такое уравнение состояния тела?|соотношение, отражающее для конкретного класса термодинамических систем связь между характеризующими её макроскопическими физическими величинами
Когда мы говорим, что два тела имеют одинаковые температуры?|между ними не происходит передачи кинетической энергии частиц
Почему абсолютная термодинамическая шкала температур называется абсолютной?|потому что мера основного состояния нижнего предела температуры — абсолютный ноль
Как без использования понятия температуры определить, что тело А более холоднее, чем тело В?|наощупь
Что является термометрической величиной в идеально-газовой шкале температур?|давление или объем
В чем некорректность фразы "температура, при которой сосуществуют в фазовом равновесии твердая, жидкая и газообразная фаза одного и того же вещества при нормальном атмосферном давлении, называется тройной точкой"?|должна быть еще и определенная температура
В чем некорректность фразы "в состоянии термодинамического равновесия все процессы прекращаются"?|процессы остаются неизменными во времени
Апогелий планеты на 10% больше перигелия. Как относятся площади, которые описывают радиус-векторы планет в апогелии и перигелии за одну секунду?|1,21
Чем силы инерции отличаются от обычных сил классической механики?|действуют только в неинерциальных системах отсчета, сила введенная для выполнения второго закона Ньютона в этих системах
В физике Ньютона по каким траекториям движутся планеты?|эллиптическая
Что является некорректным в следующем определении однородности времени: "однородность времени означает, что если в два любые момента времени все тела некоторой системы поставить в совершенно одинаковые условия, то начиная с этих моментов все явления в ней будут протекать совершенно одинаково"?|система должна быть замкнута
Выберем в твердом теле некоторую точку О. Произвольное движение твердого тела разложим на поступательное движение со скоростью, равной скорости точки О, и вращательное движение вокруг мгновенной оси, проходящей через эту точку. Выберем теперь другую точку А и опять разложим движение на поступательное движение со скоростью, равной скорости точки А, и вращательное движение вокруг мгновенной оси, проходящей через точку А. Известно, что поступательная скорость движения при переходе от точки О к точке А увеличилась в два раза. Как при этом изменилась скорость вращательного движения?|увеличилась в 2 раза
Имеется твердое тело, имеющее одну неподвижную точку. Нужно перевести тело из произвольного начального положения в произвольное конечное положение. Какое минимальное количество поворотов (и осей вращения) потребуется для этого в общем случае? |три
Почему полые тела скатываются с наклонной плоскости за другое время, чем сплошные тела той же геометрической формы?|ускорение зависит от радиуса инерции от радиуса качения
Что общего между сальто прыгуна и пируэтом балерины?|отталкиваются от пола, сообщая телу вращательный импульс
Что может являться причиной нерегулярных колебаний продолжительности суток?|неравномерное движение Земли вокруг Солнца
Чем некорректно следующее определение: "весом тела называется приложенная к нему сила, равная и противоположно направленная силе, с которой это тело действует на подставку, на которой оно лежит, или тянет за подвес, к которому оно подвешено"?|не указано относительно чего находится подставка, подвес и само тело
В каком случае уравнение моментов относительно движущегося начала имеет такой же вид, что и относительно неподвижного начала?|если брать относительно центра масс
При рассмотрении движения тела относительно Земли студент учел и центробежную силу и кориолисову силу, но не учел гравитационные силы со стороны Солнца и Луны. Почему?|они пренебрежимо малы
Почему величина третьей космической скорости не определена однозначно?|зависит от точки запуска на Земле, направления скорости относительно осевого вращение Земли и орбитальному движению планету вокруг Солнца, а также дополнительное ускорение можно придать при выполнении гравитационных маневров
В чем некорректность фразы "температура, при которой твердая и жидкая фаза одного и того же вещества сосуществуют в фазовом равновесии, называется нормальной точкой плавления"?|это должно происходить при нормальном атмосферном давлении
Когда мы говорим, что два тела имеют одинаковые температуры?|если между ними нет передачи кинетической энергии
В чем некорректность фразы "в состоянии термодинамического равновесия все процессы прекращаются"?|прекращаются все необратимые процессы
Что такое уравнение состояния тела?|соотношение, определяющее связь между параметрами состояния тела
Как без использования понятия температуры определить, что тело А более холоднее, чем тело В?|если тепло переходит от тела В к телу А
Как связаны макроскопические термодинамические параметры с функциями, характеризующими динамическое состояние системы?|функции, характеризующие динамическое состояние системы определяют макроскопические термодинамические параметры
Какие условия накладываются на термоскоп?|атмосферное давление
Что некорректно в следующем определении "моль есть количество вещества системы, содержащей столько же молекул, сколько содержится атомов в углероде-12 массой 0,012 кг"?|могут быть не только молекулами, но и другими структурными элементами, например атомами, электронами и др.
Сколько параметров требуется для описания неквазистатического процесса в общем случае?|бесконечное множество
Какой физический закон лежит в основе создания абсолютной термодинамической шкалы температур?|закон Шарля
Почему абсолютная термодинамическая шкала температур называется абсолютной?|не зависит от свойств веществ
Как связаны термоскоп и термометр?|термоскоп родоначальник термометров
Что является термометрической величиной в идеально-газовой шкале температур?|идеальный газ
В чем некорректность фразы "температура, при которой сосуществуют в фазовом равновесии твердая, жидкая и газообразная фаза одного и того же вещества при нормальном атмосферном давлении, называется тройной точкой"?|давление зависит от вещества
Выберем в твердом теле некоторую точку О. Произвольное движение твердого тела разложим на поступательное движение со скоростью, равной скорости точки О, и вращательное движение вокруг мгновенной оси, проходящей через эту точку. Выберем теперь другую точку А и опять разложим движение на поступательное движение со скоростью, равной скорости точки А, и вращательное движение вокруг мгновенной оси, проходящей через точку А. Известно, что поступательная скорость движения при переходе от точки О к точке А увеличилась в два раза. Как при этом изменилась скорость вращательного движения?|В два раза
Почему удержаться в транспорте на поворотах легче в неподвижном состоянии, чем при движении?|Меньшее ускорение и соответственно меньшие силы
При рассмотрении движения тела относительно Земли студент учел и центробежную силу и кориолисову силу, но не учел гравитационные силы со стороны Солнца и Луны. Почему?|Они пренебрежимо малы
В каком случае уравнение моментов относительно движущегося начала имеет такой же вид, что и относительно неподвижного начала?|При поступательном движении
Чему равна сумма моментов инерции тела относительно трех произвольных осей, пересекающихся в одной точке О?|Главному моменту
Чем силы инерции отличаются от обычных сил классической механики?|Они являются мнимыми
Чем некорректно следующее определение: "весом тела называется приложенная к нему сила, равная и противоположно направленная силе, с которой это тело действует на подставку, на которой оно лежит, или тянет за подвес, к которому оно подвешено"?|Вес является первопричиной, а не следствием
Что может являться причиной нерегулярных колебаний продолжительности суток?|Прецессия планеты
Имеется твердое тело, имеющее одну неподвижную точку. Нужно перевести тело из произвольного начального положения в произвольное конечное положение. Какое минимальное количество поворотов (и осей вращения) потребуется для этого в общем случае? |Два
Почему полые тела скатываются с наклонной плоскости за другое время, чем сплошные тела той же геометрической формы?|Потому что имеют другой момент инерции
В физике Ньютона по каким траекториям движутся планеты?|По эллипсам
Апогелий планеты на 10% больше перигелия. Как относятся площади, которые описывают радиус-векторы планет в апогелии и перигелии за одну секунду?|Они равны
Почему величина третьей космической скорости не определена однозначно?|Потому что зависит от направления движения вокруг Земли
Что является некорректным в следующем определении однородности времени: "однородность времени означает, что если в два любые момента времени все тела некоторой системы поставить в совершенно одинаковые условия, то начиная с этих моментов все явления в ней будут протекать совершенно одинаково"?|Ничего
Сколько параметров требуется для описания неквазистатического процесса в общем случае?|3
Что общего между сальто прыгуна и пируэтом балерины?|Вращательное движени
Что является термометрической величиной в идеально-газовой шкале температур?|-
Какие условия накладываются на термоскоп?|Температура окружающей среды, поглощаемое излучение
Как связаны термоскоп и термометр?|Принципом работы
Что такое уравнение состояния тела?|соотношение, отражающее для конкретного класса термодинамических систем связь между характеризующими её макроскопическими физическими величинами
Что некорректно в следующем определении "моль есть количество вещества системы, содержащей столько же молекул, сколько содержится атомов в углероде-12 массой 0,012 кг"?|не молекул, а структурных элементов
В чем некорректность фразы "температура, при которой сосуществуют в фазовом равновесии твердая, жидкая и газообразная фаза одного и того же вещества при нормальном атмосферном давлении, называется тройной точкой"?|Давление может быть отличным от атмосферного
Как без использования понятия температуры определить, что тело А более холоднее, чем тело В?|При контакте тело А будет остывать, а В нагреваться
Почему абсолютная термодинамическая шкала температур называется абсолютной?|Использует температурную шкалу Кельвина
Когда мы говорим, что два тела имеют одинаковые температуры?|При одинаковом инфракрасном излучении
В чем некорректность фразы "температура, при которой твердая и жидкая фаза одного и того же вещества сосуществуют в фазовом равновесии, называется нормальной точкой плавления"?|При нормальном атмосферном давлении
Как связаны макроскопические термодинамические параметры с функциями, характеризующими динамическое состояние системы?|Энергиями
Какой физический закон лежит в основе создания абсолютной термодинамической шкалы температур?|-
В чем отличие получения уравнения состояния в термодинамике и в статистической физике?|-
В чем некорректность фразы "в состоянии термодинамического равновесия все процессы прекращаются"?|Не прекращаются, а уравновешиваются
При рассмотрении движения тела относительно Земли студент учел и центробежную силу и кориолисову силу, но не учел гравитационные силы со стороны Солнца и Луны. Почему?|Из-за слишком большого расстояния между Землёй и Луной и Солнцем силы со стороны двух последних тел будут слишком маленкими.
В физике Ньютона по каким траекториям движутся планеты?|эллипс
Чем некорректно следующее определение: "весом тела называется приложенная к нему сила, равная и противоположно направленная силе, с которой это тело действует на подставку, на которой оно лежит, или тянет за подвес, к которому оно подвешено"?|Нужно уточнить, что тело, подставка и подвес покоятся
Почему величина третьей космической скорости не определена однозначно?|Потому что радиус орбиты планеты является эллипсом, а не окружностью.
Почему полые тела скатываются с наклонной плоскости за другое время, чем сплошные тела той же геометрической формы?|Полые тела имеют меньшую массу, из-за чего суммарная сила, действующая на эти тела, меньше, а значит и ускорение этих тел тоже меньше.
Чем силы инерции отличаются от обычных сил классической механики?|силы инерции - фиктивные силы, не связанные с взаимодействием
В чем некорректность фразы "в состоянии термодинамического равновесия все процессы прекращаются"?|Не все процессы прекращаются, прекращается перенос вещества или энергии.
Почему абсолютная термодинамическая шкала температур называется абсолютной?|потому что мера основного состояния нижнего предела температуры — абсолютный ноль, то есть наиболее низкая возможная температура, при которой в принципе невозможно извлечь из вещества тепловую энергию.
Когда мы говорим, что два тела имеют одинаковые температуры?|Когда между ними не происходит процесс передачи тепла.
Что такое уравнение состояния тела?|— уравнение, связывающее между собой термодинамические (макроскопические) параметры системы, такие, как температура, давление, объём, химический потенциал и др
Что некорректно в следующем определении "моль есть количество вещества системы, содержащей столько же молекул, сколько содержится атомов в углероде-12 массой 0,012 кг"?|...содержащей столько же СТРУКТУРНЫХ ЭЛЕМЕНТОВ...
В чем некорректность фразы "температура, при которой твердая и жидкая фаза одного и того же вещества сосуществуют в фазовом равновесии, называется нормальной точкой плавления"?|Не указано, что эти фазы существуют при нормальном давлении.
Что является термометрической величиной в идеально-газовой шкале температур?|Давление
Как связаны термоскоп и термометр?|Термоскоп — родоначальник современных термометров.
Какой физический закон лежит в основе создания абсолютной термодинамической шкалы температур?|Теорема Карно
Как без использования понятия температуры определить, что тело А более холоднее, чем тело В?|Тело А более холоднее, чем тело В, если тело В отдаёт своё тепло телу А
В чем некорректность фразы "температура, при которой сосуществуют в фазовом равновесии твердая, жидкая и газообразная фаза одного и того же вещества при нормальном атмосферном давлении, называется тройной точкой"?|Эта температура называется нормальной точкой
Почему удержаться в транспорте на поворотах легче в неподвижном состоянии, чем при движении?|из-за инерции
Чему равна сумма моментов инерции тела относительно трех произвольных осей, пересекающихся в одной точке О?|моментам инерции системы относительно координатных плоскостей
Почему величина третьей космической скорости не определена однозначно?|она определена
Что общего между сальто прыгуна и пируэтом балерины?|Присутствует вращение
Чем силы инерции отличаются от обычных сил классической механики?|наличием ускорения неинерциальной системы отсчета относительно инерциальной
Почему полые тела скатываются с наклонной плоскости за другое время, чем сплошные тела той же геометрической формы?|Зависит от момента инерции
В каком случае уравнение моментов относительно движущегося начала имеет такой же вид, что и относительно неподвижного начала?|если движение происходит относительно центра масс
В физике Ньютона по каким траекториям движутся планеты?|по эллипсам
При рассмотрении движения тела относительно Земли студент учел и центробежную силу и кориолисову силу, но не учел гравитационные силы со стороны Солнца и Луны. Почему?|они учтены в кариолисовой силе
Что может являться причиной нерегулярных колебаний продолжительности суток?|Облака солнечной плазмы, которые имеют магнитные поля
Что является некорректным в следующем определении однородности времени: "однородность времени означает, что если в два любые момента времени все тела некоторой системы поставить в совершенно одинаковые условия, то начиная с этих моментов все явления в ней будут протекать совершенно одинаково"?|нет зависимости от времени создания условий
