Где у проводника в состоянии равновесия максимальна поверхностная плотность электричества?|в местах наибольшей выпуклости поверхности проводника.
Как влияет внешнее магнитное поле на домены в ферромагнетиках?|происходит изменение объемов доменов, в результате их смещения
Где у проводника в состоянии равновесия максимальна поверхностная плотность электричества?|на остриях
Что такое собственная энергия заряда?|это энергия взаимного отталкивания частиц
Сформулируйте закон сохранения заряда.|заряд системы не меняет, если через ее границу не переходят заряженные частицы
Что называют точкой Кюри для ферромагнетиков?|это температура, при которой вещество совершает фазовый переход
Как объяснить то, что магнитные силы не удовлетворяют принципу равенства действия и противодействия?|Так как в релятивистской физике понятие время относительно,а для принципа действия и противодействия силы должны быть приложены в один момент времени
Какое поле создает сферически симметрично заряженный шар во внешнем пространстве?|Если сосредоточить весь заряд в центре данного шара, то он будет создавать такое же внешнее поле
Сформулируйте теорему Ирншоу.|Всякая равновесная система точечных зарядов не устойчива если на нее действуют только кулоновские силы
Как связаны закон Кулона и масса покоя фотона?|Взаимодействие между двумя зарядами можно считать как испускание фотона от одного заряда к другому
Опишите основной принцип работы метода изображений.|метод состоит в подборе фиктивных зарядов вне рассматриваемой области, таких, что их совместное с реальными зарядами поле обеспечивает заданные граничные условиями
Как можно охарактеризовать силовые линии напряженности с точки зрения потенциала (не прибегая к понятию эквипотенциальной поверхности)?|в однородном поле напряженностью Е равна отношению разности потенциалов между двумя точками к расстоянию между двумя точками вдоль направления силовых линий
Какой вывод по поводу образования ионов в электролитах можно сделать из справедливости закона Джоуля-Ленца в этих электролитах?|вся теплота джоуля есть энергия затрачиваемая током
Какой принципиальный способ измерения векторов напряженности и смещения (индукции) электрического поля в диэлектрике?|способ помещения пробного заряда в некоторую область в проводнике(вакуум), но тогда искажается результат, поэтому нужно выбирать такую область, которая бы наиболее подходила к результату
Что называют точкой Кюри для ферромагнетиков?|это температура при которой происходит размагничивание ферромагнетика
Что такое точечный электрический диполь?|Это совокупность двух разноименных зарядов одинаковой величины
Где у проводника в состоянии равновесия максимальна поверхностная плотность электричества?|На всех "выпуклостях" проводника
Сформулируйте закон сохранения заряда.|алгебраическая сумма зарядов постоянна
Перечислите основные свойства заряда.|Постоянство массы и значения заряда, существование разноименных зарядов, закон сохранения зарядов
Что такое собственная энергия заряда?|Это энергия по перемещению бесконечно малых частей электрона на бесконечно далекие расстояния
Какой физический смысл дивергенции поля?|дивергенция поля позволяет сохранить смысл независимо от физической или геометрической природы Е
Как влияет внешнее магнитное поле на домены в ферромагнетиках?|Оно упорядочивает домены в результате чего происходит намагничивание
Какую форму имеют эквипотенциальные поверхности в проводнике?|Форму проводника
Что происходит с векторами напряженности и электрического смещения на границе (и ее окрестности) раздела диэлектрика?|только некоторые составляющие этих векторов сохраняются, для напряженности касательная составляющая(тангенцальная) и для электрического смещения нормальная
