При падении естественного света на прозрачныйдиэлектрик под углом Брюстера поляризация у отраженного и преломленного лучей соответственно будут ...|плоскополяризованной и частично поляризованной
Рассеяние Рэлея света оптического диапазона в земнойатмосфере происходит в основном в каких условиях? |при условии неоднородности среды
Как изменятся кинетическая и потенциальнаяэнергии положительно заряженной частицы, если она под действием сил поляпереходит из точки с большим потенциалом в точку с меньшим потенциалом? |первая увеличиваяется, а вторая - уменьшается
Как изменится длина волны света при переходе извакуума в прозрачную среду с абсолютным показателем преломления n = 2? |увеличится ровно в два раза
Как называют среды с постоянным коэффициентомпреломления?|однородыми
Чем фундаментально интерференция отличается отдифракции?|в первом случае рассматриваем первичные волны, а во втором - вторичные
В соответствии с законом Рэлея, наиболееинтенсивно рассеиваются световые волны, соответствующие в области видимогоспектра синему или красному цвету? |синий
В соответствии с законом Рэлея, наиболееинтенсивно рассеиваются световые волны, соответствующие в области видимогоспектра синему или красному цвету? |синий
Какие оптические явления лежат в основеголографии |дифракция света
Чем фундаментально интерференция отличается отдифракции?|интерференция-наложение волн, дифракция-разложение в спектр волны
... дифракционной решетки характеризует возможностьнаблюдать дифракционные максимумы раздельно от излучения с длинами волн λ и λ+λδ.|разрешающая сила
Как изменится длина волны света при переходе извакуума в прозрачную среду с абсолютным показателем преломления n = 2? |не изменится
Фазовая скорость некоторой волны в среде с показателем преломления n равна v=c/n, групповая скорость этой волны равна u. Чему равна скорость фронта волны в этой среде?|c/n
При дифракции Френеля на круглом отверстиидифракционная картина будет иметь вид чередующихся светлых и темныхконцентрических колец, в центре которой будет светлое пятно, если отверстиеоткрывает|нечетное число зон френеля
Рассеяние Рэлея света оптического диапазона в земнойатмосфере происходит в основном в каких условиях? |размер частицы меньше длины волны
Принцип, утверждающий, что свет распространяетсяпо такому пути, для прохождения которого ему требуется экстремальное время. |ферма
Для света какого цвета показатель преломленияводы является наибольшим?|фиолетовый
Как называют среды с постоянным коэффициентомпреломления?|однородные среды
Что представляет из себя излучение отдельногоатома? |набор узких линий
Свет от лампы проходит через два одинаковых поляризатора,оси поляризации которых перпендикулярны. Чему будет равна интенсивность светапосле прохождения второго поляризатора, если после прохождения первого егоинтенсивность уменьшилась в 1.5 раза?|0
Какое явление показывает поперечность световыхволн? |интерференция
Как изменится на фотографии вид полной Луны,если закрыть правую половину объектива телескопа? |вид не изменится
Как изменится частота света при переходе извакуума в прозрачную среду с показателем преломления n=2?|не изменится
Чему равна энергия результирующих колебаний вточках, соответствующих интерференционным максимумам, возникающим при сложениидвух равных по амплитуде когерентных волн? |энергия равна 0
Как изменятся кинетическая и потенциальнаяэнергии положительно заряженной частицы, если она под действием сил поляпереходит из точки с большим потенциалом в точку с меньшим потенциалом? |потенциальная увел кинетич уменьш
Дисперсия называется аномальной, если (написать через длину волны)|с ростом длины волны показатель преломления увеличивается
Что появится вокруг точки касания слегкаизогнутой выпуклой линзы и плоскопараллельной пластины при прохождении светасквозь линзу и пластину?|спектр
Отношение энергии отраженной волны к энергиипадающей называется|коэффициентом поглощения
При падении естественного света на прозрачныйдиэлектрик под углом Брюстера поляризация у отраженного и преломленного лучей соответственно будут ...|перпендикулярны, равно 0
Можно ли при падении монохроматического света отточечного источника S на круглое отверстие в непрозрачном экране наблюдать вцентре экране темное пятно? Если да, топри каких условиях?|да, если открыто четное число зон френеля
Величина, показывающая, какая доля энергиипадающего излучения с частотами ω и dω+ω поглощается поверхностью тела.|отражательная способность тела
Что станет с поляризованным светом, проходящимчерез слой мелко истолченного стекла? |он станет естественным
В какой волне не может возникнуть поляризация? |в продольной
Величина, показывающая, какая доля энергиипадающего излучения с частотами ω и dω+ω поглощается поверхностью тела.|отражательная способность тела
В соответствии с законом Рэлея, наиболееинтенсивно рассеиваются световые волны, соответствующие в области видимогоспектра синему или красному цвету? |синий
Свет от лампы проходит через два одинаковых поляризатора,оси поляризации которых перпендикулярны. Чему будет равна интенсивность светапосле прохождения второго поляризатора, если после прохождения первого егоинтенсивность уменьшилась в 1.5 раза?|0
В какой волне не может возникнуть поляризация? |в продольной
При дифракции Френеля на круглом отверстиидифракционная картина будет иметь вид чередующихся светлых и темныхконцентрических колец, в центре которой будет светлое пятно, если отверстиеоткрывает|нечетное число зон Френеля
Какое явление показывает поперечность световыхволн? |поляризация
Какие оптические явления лежат в основеголографии |дифракция
Как называют среды с постоянным коэффициентомпреломления?|однородные
Можно ли при падении монохроматического света отточечного источника S на круглое отверстие в непрозрачном экране наблюдать вцентре экране темное пятно? Если да, топри каких условиях?|если открыто четное число зон френеля
Фазовая скорость некоторой волны в среде с показателем преломления n равна v=c/n, групповая скорость этой волны равна u. Чему равна скорость фронта волны в этой среде?|с/n
Как изменится на фотографии вид полной Луны,если закрыть правую половину объектива телескопа? |вид не изменится. Уменьшится яркость
Принцип, утверждающий, что свет распространяетсяпо такому пути, для прохождения которого ему требуется экстремальное время. |ферма
Чему равна энергия результирующих колебаний вточках, соответствующих интерференционным максимумам, возникающим при сложениидвух равных по амплитуде когерентных волн? |0
При падении естественного света на прозрачныйдиэлектрик под углом Брюстера поляризация у отраженного и преломленного лучей соответственно будут ...|взаимно перпендикулярны
Чем фундаментально интерференция отличается отдифракции?|интерференция-наложение, дифракция-разложение
... дифракционной решетки характеризует возможностьнаблюдать дифракционные максимумы раздельно от излучения с длинами волн λ и λ+λδ.|разрешающая способность
Дисперсия называется аномальной, если (написать через длину волны)|с ростом длины волны показатель преломления увеличивается
Что станет с поляризованным светом, проходящимчерез слой мелко истолченного стекла? |свет станет естественным
Как изменится частота света при переходе извакуума в прозрачную среду с показателем преломления n=2?|не изменится
Что представляет из себя излучение отдельногоатома? |набор сравнительно узких линий
Как изменится длина волны света при переходе извакуума в прозрачную среду с абсолютным показателем преломления n = 2? |не изменится
Отношение энергии отраженной волны к энергиипадающей называется|коэффициент отражения
Чем фундаментально интерференция отличается отдифракции?|интерференция-наложение волн, дифракция-разложение волны в спектр
Для света какого цвета показатель преломленияводы является наибольшим?|фиолетовый
Какое явление показывает поперечность световыхволн? |поляризация
Можно ли при падении монохроматического света отточечного источника S на круглое отверстие в непрозрачном экране наблюдать вцентре экране темное пятно? Если да, топри каких условиях?|четное число зон френеля
... дифракционной решетки характеризует возможностьнаблюдать дифракционные максимумы раздельно от излучения с длинами волн λ и λ+λδ.|разрешающая способность
Дисперсия называется аномальной, если (написать через длину волны)|при увеличении длины волны увеличивается показатель преломления
Что представляет из себя излучение отдельногоатома? |спектральный состав излучения отдельных возбужденных атомов представляет собой набор сравнительно узких линий
Что станет с поляризованным светом, проходящимчерез слой мелко истолченного стекла? |он станет неполяризованным или естественным светом
При дифракции Френеля на круглом отверстиидифракционная картина будет иметь вид чередующихся светлых и темныхконцентрических колец, в центре которой будет светлое пятно, если отверстиеоткрывает|нечетное число зон френеля
Свет от лампы проходит через два одинаковых поляризатора,оси поляризации которых перпендикулярны. Чему будет равна интенсивность светапосле прохождения второго поляризатора, если после прохождения первого егоинтенсивность уменьшилась в 1.5 раза?|0
Как изменится частота света при переходе извакуума в прозрачную среду с показателем преломления n=2?|не изменится
Величина, показывающая, какая доля энергиипадающего излучения с частотами ω и dω+ω поглощается поверхностью тела.|коэффициент поглощения
В какой волне не может возникнуть поляризация? |в продольной
Чему равна энергия результирующих колебаний вточках, соответствующих интерференционным максимумам, возникающим при сложениидвух равных по амплитуде когерентных волн? |0
В соответствии с законом Рэлея, наиболееинтенсивно рассеиваются световые волны, соответствующие в области видимогоспектра синему или красному цвету? |синему
Как называют среды с постоянным коэффициентомпреломления?|однородные
Фазовая скорость некоторой волны в среде с показателем преломления n равна v=c/n, групповая скорость этой волны равна u. Чему равна скорость фронта волны в этой среде?|c/n
Какие оптические явления лежат в основеголографии |дифракция
Отношение энергии отраженной волны к энергиипадающей называется|коэффициент отражения
Принцип, утверждающий, что свет распространяетсяпо такому пути, для прохождения которого ему требуется экстремальное время. |ферма
При падении естественного света на прозрачныйдиэлектрик под углом Брюстера поляризация у отраженного и преломленного лучей соответственно будут ...|взаимно перпендикулярны
Как изменится на фотографии вид полной Луны,если закрыть правую половину объектива телескопа? |не изменится
Как изменится длина волны света при переходе извакуума в прозрачную среду с абсолютным показателем преломления n = 2? |не изменится
Для света какого цвета показатель преломленияводы является наибольшим?|фиолетовый
Для света какого цвета показатель преломленияводы является наибольшим?|фиолетовый
Какие оптические явления лежат в основеголографии |дифракция и интерференция световых волн
Принцип, утверждающий, что свет распространяетсяпо такому пути, для прохождения которого ему требуется экстремальное время. |Принцип Ферма
В какой волне не может возникнуть поляризация? |в продольной
Можно ли при падении монохроматического света отточечного источника S на круглое отверстие в непрозрачном экране наблюдать вцентре экране темное пятно? Если да, топри каких условиях?|можно
В соответствии с законом Рэлея, наиболееинтенсивно рассеиваются световые волны, соответствующие в области видимогоспектра синему или красному цвету? |Синему
Чем фундаментально интерференция отличается отдифракции?|дифракция это огибание волн препятствий, а интерференция это сложение волн
Что появится вокруг точки касания слегкаизогнутой выпуклой линзы и плоскопараллельной пластины при прохождении светасквозь линзу и пластину?|Кольца Ньютона
Рассеяние Рэлея света оптического диапазона в земнойатмосфере происходит в основном в каких условиях? |Атмосфера должна быть сухой
... дифракционной решетки характеризует возможностьнаблюдать дифракционные максимумы раздельно от излучения с длинами волн λ и λ+λδ.|ширина
При дифракции Френеля на круглом отверстиидифракционная картина будет иметь вид чередующихся светлых и темныхконцентрических колец, в центре которой будет светлое пятно, если отверстиеоткрывает|первую зону френеля
Как изменится на фотографии вид полной Луны,если закрыть правую половину объектива телескопа? |не изменится
Фазовая скорость некоторой волны в среде с показателем преломления n равна v=c/n, групповая скорость этой волны равна u. Чему равна скорость фронта волны в этой среде?|скорости света в вакууме
Дисперсия называется аномальной, если (написать через длину волны)|вид дисперсии света при которой показатель преломления среды уменьшается с уменьшением длины волны световых колебаний
Как изменится длина волны света при переходе извакуума в прозрачную среду с абсолютным показателем преломления n = 2? |уменьшится в 2 раза
Что станет с поляризованным светом, проходящимчерез слой мелко истолченного стекла? |он станет неполяризованным
Какое явление показывает поперечность световыхволн? |поляризация света
Как изменятся кинетическая и потенциальнаяэнергии положительно заряженной частицы, если она под действием сил поляпереходит из точки с большим потенциалом в точку с меньшим потенциалом? |кинетическая энергия уменьшится потенциальная увеличится
Как называют среды с постоянным коэффициентомпреломления?|однородные
Свет от лампы проходит через два одинаковых поляризатора,оси поляризации которых перпендикулярны. Чему будет равна интенсивность светапосле прохождения второго поляризатора, если после прохождения первого егоинтенсивность уменьшилась в 1.5 раза?|удвоенной интенсивности света после первого поляризатора
Что представляет из себя излучение отдельногоатома? |линейчатый спектр
Величина, показывающая, какая доля энергиипадающего излучения с частотами ω и dω+ω поглощается поверхностью тела.|спектральная поглощательная способность тела
Отношение энергии отраженной волны к энергиипадающей называется|коэффициент отражения
Как изменится частота света при переходе извакуума в прозрачную среду с показателем преломления n=2?|увеличится в два раза
Чему равна энергия результирующих колебаний вточках, соответствующих интерференционным максимумам, возникающим при сложениидвух равных по амплитуде когерентных волн? |сумме энергий колебаний в точках
Как изменится частота света при переходе извакуума в прозрачную среду с показателем преломления n=2?|частота света увеличится в два раза
При падении естественного света на прозрачныйдиэлектрик под углом Брюстера поляризация у отраженного и преломленного лучей соответственно будут ...|будет перпендикулярна плоскости падения и   параллельна направлению отражения
Какие оптические явления лежат в основеголографии |в основе голографии лежат явления интерференции и дифракции света
Какое явление показывает поперечность световыхволн? |явления интерференции
При падении естественного света на прозрачныйдиэлектрик под углом Брюстера поляризация у отраженного и преломленного лучей соответственно будут ...|поляризация отраженного луча будет перпендикулярна плоскости падения а преломленного луча параллельна направлению отражения
Величина, показывающая, какая доля энергиипадающего излучения с частотами ω и dω+ω поглощается поверхностью тела.|эта величина называется спектральная поглощательная способность
Как называют среды с постоянным коэффициентомпреломления?|такие среды называют однородными
Чему равна энергия результирующих колебаний вточках, соответствующих интерференционным максимумам, возникающим при сложениидвух равных по амплитуде когерентных волн? |энергия результирующих колебаний в точках равна суме энергий в эти точках
При дифракции Френеля на круглом отверстиидифракционная картина будет иметь вид чередующихся светлых и темныхконцентрических колец, в центре которой будет светлое пятно, если отверстиеоткрывает|если отверстие открывает половину первой зоны френеля
Как изменятся кинетическая и потенциальнаяэнергии положительно заряженной частицы, если она под действием сил поляпереходит из точки с большим потенциалом в точку с меньшим потенциалом? |кинетическая энергия будет уменьшаться а потенциальная увеличиваться
Для света какого цвета показатель преломленияводы является наибольшим?|для фиолетового цвета показатель преломления является наибольшим
Принцип, утверждающий, что свет распространяетсяпо такому пути, для прохождения которого ему требуется экстремальное время. |Принцип ферма
В какой волне не может возникнуть поляризация? |в продольных волнах поляризации не существует
Как изменится на фотографии вид полной Луны,если закрыть правую половину объектива телескопа? |вид полной луны не изменится при этом, изменится только яркость картинки.
Дисперсия называется аномальной, если (написать через длину волны)|если показатель преломления среды увеличивается  с увеличением длины волны
Рассеяние Рэлея света оптического диапазона в земнойатмосфере происходит в основном в каких условиях? |в нормальных
Свет от лампы проходит через два одинаковых поляризатора,оси поляризации которых перпендикулярны. Чему будет равна интенсивность светапосле прохождения второго поляризатора, если после прохождения первого егоинтенсивность уменьшилась в 1.5 раза?|удвоенной интенсивности после прохождения первого поляризатора
Как изменится длина волны света при переходе извакуума в прозрачную среду с абсолютным показателем преломления n = 2? |длина волны при этом уменьшится в 2 раза
Что представляет из себя излучение отдельногоатома? |разложения света в спектр
Фазовая скорость некоторой волны в среде с показателем преломления n равна v=c/n, групповая скорость этой волны равна u. Чему равна скорость фронта волны в этой среде?|скорость фронта равна групповой скорости света этой волны в вакууме
Что появится вокруг точки касания слегкаизогнутой выпуклой линзы и плоскопараллельной пластины при прохождении светасквозь линзу и пластину?|появятся Кольца ньютона
... дифракционной решетки характеризует возможностьнаблюдать дифракционные максимумы раздельно от излучения с длинами волн λ и λ+λδ.|Ширина
В соответствии с законом Рэлея, наиболееинтенсивно рассеиваются световые волны, соответствующие в области видимогоспектра синему или красному цвету? |наиболее интенсивно рассеиваются световые волны соответствующие в области видимого спектра синему цвету
Можно ли при падении монохроматического света отточечного источника S на круглое отверстие в непрозрачном экране наблюдать вцентре экране темное пятно? Если да, топри каких условиях?|нет
Чем фундаментально интерференция отличается отдифракции?|по определению дифракция это огибание волнами препятствий а интерференция - наложения когерентных волн
Отношение энергии отраженной волны к энергиипадающей называется|называется коэффициентом отражения
Что станет с поляризованным светом, проходящимчерез слой мелко истолченного стекла? |свет станет неполяризованным
Как изменятся кинетическая и потенциальнаяэнергии положительно заряженной частицы, если она под действием сил поляпереходит из точки с большим потенциалом в точку с меньшим потенциалом? |при этом кинетическая энергия уменьшится а потенциальная возрастет
Рассеяние Рэлея света оптического диапазона в земнойатмосфере происходит в основном в каких условиях? |происходит в нормальных условиях
Как изменится частота света при переходе извакуума в прозрачную среду с показателем преломления n=2?|при этом частота увеличится в 2 раза
Что появится вокруг точки касания слегкаизогнутой выпуклой линзы и плоскопараллельной пластины при прохождении светасквозь линзу и пластину?|вокруг точки качания появятся кольца ньютона
Как изменится длина волны света при переходе извакуума в прозрачную среду с абсолютным показателем преломления n = 2? |при этом длина волны уменьшится в 2 раза
Какие оптические явления лежат в основеголографии |в основе этого лежит дифракция и интерференция
В соответствии с законом Рэлея, наиболееинтенсивно рассеиваются световые волны, соответствующие в области видимогоспектра синему или красному цвету? |синему цвету
Какое явление показывает поперечность световыхволн? |явления поляризации или интерференции
Как изменится на фотографии вид полной Луны,если закрыть правую половину объектива телескопа? |вид не изменится
Фазовая скорость некоторой волны в среде с показателем преломления n равна v=c/n, групповая скорость этой волны равна u. Чему равна скорость фронта волны в этой среде?|скорость фронта волны в этой среде будет равна групповой скорости этой волны в этой среде
Принцип, утверждающий, что свет распространяетсяпо такому пути, для прохождения которого ему требуется экстремальное время. |данны принцип носит названия принципа ФЕРМА
Чем фундаментально интерференция отличается отдифракции?|интерференция- наложение волн, дифракция - огибание
Можно ли при падении монохроматического света отточечного источника S на круглое отверстие в непрозрачном экране наблюдать вцентре экране темное пятно? Если да, топри каких условиях?|можно, когда пучок света падает перпендикулярно и не преломляется
Величина, показывающая, какая доля энергиипадающего излучения с частотами ω и dω+ω поглощается поверхностью тела.|спектральная поглощательная способность тела
... дифракционной решетки характеризует возможностьнаблюдать дифракционные максимумы раздельно от излучения с длинами волн λ и λ+λδ.|ширина
Что станет с поляризованным светом, проходящимчерез слой мелко истолченного стекла? |свет опять станет неполяризованным
Для света какого цвета показатель преломленияводы является наибольшим?|для фиолетового
В какой волне не может возникнуть поляризация? |в звуковой
Как называют среды с постоянным коэффициентомпреломления?|такие среды называются однородными
При дифракции Френеля на круглом отверстиидифракционная картина будет иметь вид чередующихся светлых и темныхконцентрических колец, в центре которой будет светлое пятно, если отверстиеоткрывает|если отверстие открывает половину первой зоны френеля
Отношение энергии отраженной волны к энергиипадающей называется|называется коэффициентом отражения
Свет от лампы проходит через два одинаковых поляризатора,оси поляризации которых перпендикулярны. Чему будет равна интенсивность светапосле прохождения второго поляризатора, если после прохождения первого егоинтенсивность уменьшилась в 1.5 раза?|3
Дисперсия называется аномальной, если (написать через длину волны)|с увеличением коэффициента преломления длина волны увеличивается
Что представляет из себя излучение отдельногоатома? |излучение отдельного атома представляет собой спектр
При падении естественного света на прозрачныйдиэлектрик под углом Брюстера поляризация у отраженного и преломленного лучей соответственно будут ...|преломленный луч будет направлен параллельно направлению отражения, а отраженный перпендикулярно плоскости падения
Чему равна энергия результирующих колебаний вточках, соответствующих интерференционным максимумам, возникающим при сложениидвух равных по амплитуде когерентных волн? |энергия таких колебаний будет равна сумме энергий колебаний в точках
В какой волне не может возникнуть поляризация? |в продольной
Как изменится на фотографии вид полной Луны,если закрыть правую половину объектива телескопа? |вид - никак , яркость уменьшится
Для света какого цвета показатель преломленияводы является наибольшим?|фиолетового цвета
В соответствии с законом Рэлея, наиболееинтенсивно рассеиваются световые волны, соответствующие в области видимогоспектра синему или красному цвету? |синему
Как называют среды с постоянным коэффициентомпреломления?|однородные
Рассеяние Рэлея света оптического диапазона в земнойатмосфере происходит в основном в каких условиях? |неоднородность воздуха
Можно ли при падении монохроматического света отточечного источника S на круглое отверстие в непрозрачном экране наблюдать вцентре экране темное пятно? Если да, топри каких условиях?|при открытии четного числа зон Френеля
При падении естественного света на прозрачныйдиэлектрик под углом Брюстера поляризация у отраженного и преломленного лучей соответственно будут ...|перпендикулярна плоскости падения и параллельна плоскости падения
При дифракции Френеля на круглом отверстиидифракционная картина будет иметь вид чередующихся светлых и темныхконцентрических колец, в центре которой будет светлое пятно, если отверстиеоткрывает|нечетное число зон Френеля
Величина, показывающая, какая доля энергиипадающего излучения с частотами ω и dω+ω поглощается поверхностью тела.|поглощательная способность
